"","date","price","macd1","signal1","macd2","signal2","priceTraded","trade","return","cumReturn"
"2020-12-21",2020-12-21,22803.08203125,24.2255642513019,18.4719074337509,24.2255642513019,17.7551778444898,NA,NA,NA,NA
"2020-12-22",2020-12-22,23783.029296875,24.6430372060808,19.1575885195653,24.6430372060808,18.1995558678183,NA,NA,NA,NA
"2020-12-23",2020-12-23,23241.345703125,23.6719949930433,19.6591892388407,23.6719949930433,18.5526164565425,NA,NA,NA,NA
"2020-12-24",2020-12-24,23735.94921875,23.4272427256773,20.0778618484892,23.4272427256773,18.867108473906,NA,NA,NA,NA
"2020-12-25",2020-12-25,24664.791015625,24.2770685484464,20.5444403707066,24.2770685484464,19.2161381561344,NA,NA,NA,NA
"2020-12-26",2020-12-26,26437.037109375,27.0008628264856,21.261820643571,27.0008628264856,19.7183784574474,NA,NA,NA,NA
"2020-12-27",2020-12-27,26272.294921875,27.9852914450792,22.0088729548497,27.9852914450792,20.2517276824559,NA,NA,NA,NA
"2020-12-28",2020-12-28,27084.80859375,29.2685746786496,22.8155064797163,29.2685746786496,20.8334597467265,NA,NA,NA,NA
"2020-12-29",2020-12-29,27362.4375,29.942953267415,23.6074450116828,29.942953267415,21.4211690061257,NA,NA,NA,NA
"2020-12-30",2020-12-30,28840.953125,31.86806063051,24.5252911915525,31.86806063051,22.0951620141505,NA,NA,NA,NA
"2020-12-31",2020-12-31,29001.720703125,32.704348339874,25.4340753191438,32.704348339874,22.7796256480682,NA,NA,NA,NA
"2021-01-01",2021-01-01,29374.15234375,33.1329980796751,26.2895111814251,33.1329980796751,23.4475851597847,NA,NA,NA,NA
"2021-01-02",2021-01-02,32127.267578125,36.3793274469256,27.4106018775918,36.3793274469256,24.2818911137938,NA,NA,NA,NA
"2021-01-03",2021-01-03,32782.0234375,38.5154189229947,28.6444704381921,38.5154189229947,25.2001832305165,NA,NA,NA,NA
"2021-01-04",2021-01-04,31971.9140625,38.0966939674954,29.6947174970036,38.0966939674954,26.0322161812893,NA,NA,NA,NA
"2021-01-05",2021-01-05,33992.4296875,39.6012896131196,30.7954477321276,39.6012896131196,26.9076402736655,NA,NA,NA,NA
"2021-01-06",2021-01-06,36824.36328125,43.131841003602,32.1661580956247,43.131841003602,27.9543629014033,NA,NA,NA,NA
"2021-01-07",2021-01-07,39371.04296875,47.3491969946245,33.8531624177358,47.3491969946245,29.2056425203208,NA,NA,NA,NA
"2021-01-08",2021-01-08,40797.609375,50.5143016248674,35.7044001074171,50.5143016248674,30.5803947206141,NA,NA,NA,NA
"2021-01-09",2021-01-09,40254.546875,50.7932559324408,37.3809396435309,50.7932559324408,31.8844502826675,NA,NA,NA,NA
"2021-01-10",2021-01-10,38356.44140625,47.922625543634,38.5522380768756,47.922625543634,32.919171267246,NA,NA,NA,NA
"2021-01-11",2021-01-11,35566.65625,42.3086465087897,38.9696167915328,42.3086465087897,33.5249438634746,NA,NA,NA,NA
"2021-01-12",2021-01-12,33922.9609375,36.3481462400787,38.6783422858156,36.3481462400787,33.7070859522878,NA,NA,NA,NA
"2021-01-13",2021-01-13,37316.359375,35.5528004916721,38.3310598642441,35.5528004916721,33.8261643096674,NA,NA,NA,NA
"2021-01-14",2021-01-14,39187.328125,36.3366618407475,38.1094600838556,36.3366618407475,33.9881318923177,NA,NA,NA,NA
"2021-01-15",2021-01-15,36825.3671875,33.780861980776,37.628504739069,33.780861980776,33.9747596399602,36825.3671875,-1,0.728030709485982,72.4982617829473
"2021-01-16",2021-01-16,36178.140625,30.9615406197009,36.8877309480281,30.9615406197009,33.7803584128467,NA,NA,NA,NA
"2021-01-17",2021-01-17,35791.27734375,28.2978939571879,35.9333046157125,28.2978939571879,33.4266510286106,NA,NA,NA,NA
"2021-01-18",2021-01-18,36630.07421875,26.9931759894193,34.9399569905688,26.9931759894193,33.0115881228564,NA,NA,NA,NA
"2021-01-19",2021-01-19,36069.8046875,25.18396402128,33.855957771759,25.18396402128,32.5065801163031,NA,NA,NA,NA
"2021-01-20",2021-01-20,35547.75,23.1356028762335,32.6648072278117,23.1356028762335,31.9020009395244,NA,NA,NA,NA
"2021-01-21",2021-01-21,30825.69921875,16.8914825161917,30.9122155931873,16.8914825161917,30.9335803960836,NA,NA,NA,NA
"2021-01-22",2021-01-22,33005.76171875,14.8111560518684,29.1232089774852,14.8111560518684,29.8934239867794,NA,NA,NA,NA
"2021-01-23",2021-01-23,32067.642578125,12.3609764572157,27.2607386974552,12.3609764572157,28.7622983397107,NA,NA,NA,NA
"2021-01-24",2021-01-24,32289.37890625,10.8437998081472,25.436634376421,10.8437998081472,27.6062661763841,NA,NA,NA,NA
"2021-01-25",2021-01-25,32366.392578125,9.80019234844187,23.6992519288678,9.80019234844187,26.4574872197426,NA,NA,NA,NA
